DCS	SH
rAjay	rAj
GAsay	Gas
xaMSay	xaMS
sAyay	si
hvAray	hvq
xveRay	xviR
lakRay	lakR
arcay	qc
svAnay	svan
kRAvay	kRu
mnApay	mnA
jAgaray	jAgq
jvaray	jvar
sparSay	spqS
hAxay	hax
kAmay	kAm
galBay	galB
Gattay	Gatt
Bramay	Bram
racay	rac
vanxay	vanx
nASay	nAS
veRtay	veRt
BARay	BaR
wAday	wad
xAray	xQ
spanxay	spanx
meRay	miR
secay	sic
vyAXay	vyaX
cakAsay	cakAs
XukRay	XukR
pUjay	pUj
SyApay	SyA
veSay	viS
hrAsay	hras
pyAy	pyA
xrApay	xrA
SrAyay	Sri
snApay	snA
Kayjay	Kayj
vlepay	vlI
moRay	muR
jyApay	jyA
sAray	sq
pAyay	pA
Scyoway	Scuw
xeSay	xiS
mlApay	mlAp
nakRay	nakR
carvay	carv
garjay	garj
kAfkRay	kAfkR
gaNay	gaN
peSay	piS
vASay	vaS
SAkay	Sak
wyAjay	wyaj
xamay	xam
pUyay	pUy
kaNday	kaNd
lambay	lamb
svexay	svix
inXay	inX
srAvay	srav
XrAvay	Xru
kIrwa	kIrw
Brasj	Bqjj
Brajjay	Bqjj
akRay	akR
Safkay	Safk
kRAlay	kRal
rahay	rah
varhay	vqh
mohay	muh
parRay	pqR
vAcay	vac
GarRay	GqR
ASay	aS
SAyay	SI
wveRay	wviR
pATay	paT
XAvay	XAv
ranXay	raX
karRay	kqR
gamay	gam
parWay	pqW
kUjay	kUj
Sramay	Sram
mAray	mq
vAyCay	vAyC
cAtay	cat
mURay	mUR
cinway	cinw
jamay	jam
banXay	banX
eXay	eX
rAsay	ras
kuwsay	kuws
XvAfkRay	XvAfkR
kRAyay	kRI
swAvay	swu
kRoXay	kRuX
yoXay	yuX
hvalay	hval
narxay	narx
mAhay	mah
hATay	haT
umBay	umB
XvAray	Xvq
damba	damb
BAsay	BAs
namay	nam
kRANay	kRan
ukRay	ukR
unxay	unx
woxay	wux
ifgay	ifg
SAlay	Sal
lARay	laR
GUrNay	GUrN
kAnay	kan
rUpa	rUp
rUpay	rUp
SaMsay	SaMs
caycay	cayc
peRay	piR
cub	cumb
cumbay	cumb
cURay	cUR
nejay	nij
waycay	wayc
spASay	spaS
vecay	vic
kRAray	kRar
GAway	han
ujJay	ujJ
