Platform	Deprecated_Tag	Current_Tag
SH	md.	mo.
DCS	Tense=Impft	Tense=Impf
DCS	Mood=Prec	Mood=Opt
DCS	Mood=Inj	Mood=Jus
DCS	VerbForm=Abs	VerbForm=Conv
ByT5	Gender=Masc	Gender=Masculine
ByT5	Gender=Fem	Gender=Feminine
ByT5	Gender=Neut	Gender=Neuter
ByT5	Case=Nom	Case=Nominative
ByT5	Case=Acc	Case=Accusative
ByT5	Case=Ins	Case=Instrumental
ByT5	Case=Dat	Case=Dative
ByT5	Case=Abl	Case=Ablative
ByT5	Case=Gen	Case=Genitive
ByT5	Case=Loc	Case=Locative
ByT5	Case=Voc	Case=Vocative
ByT5	Number=Sing	Number=Singular
ByT5	Number=Plur	Number=Plural
ByT5	Tense=Pres	Tense=Present
ByT5	Tense=Fut	Tense=Future
ByT5	Tense=Impf	Tense=Imperfect
ByT5	Tense=plp	Tense=Pluperfect
ByT5	Mood=Ind	Mood=Indicative
ByT5	Mood=Imp	Mood=Imperative
ByT5	Mood=Opt	Mood=Optative
ByT5	Mood=Sub	Mood=Subjunctive
ByT5	Mood=Jus	Mood=Jussive
ByT5	Mood=Cond	Mood=Conditional
ByT5	Formation=peri	Formation=Periphrastic
ByT5	Voice=Pass	Voice=Passive
ByT5	Case=Ind	Indeclinable
ByT5	VerbForm=Part	VerbForm=Participle
ByT5	VerbForm=Gdv	VerbForm=Gerundive
ByT5	VerbForm=Conv	VerbForm=Converb
ByT5	VerbForm=Inf	VerbForm=Infinitive
ByT5	Case=Cpd	Case=Compound
