pivot_grammar	Expanded_Features	English	Sanskrit
nt_nam	vargaH:nA	Name	नाम
nt_dei	vargaH:sarva	Deictic	सर्वनाम
nt_car	vargaH:safKyeya	Cardinal	सङ्ख्येय
nt_num	vargaH:safKyA		
nt_ord	vargaH:pUraNa		
gender_masc	Gender=Masc	masculine	पुल्लिङ्गम्
gender_fem	Gender=Fem	feminine	स्त्रीलिङ्गम्
gender_neut	Gender=Neut	neuter	नपुंसकलिङ्गम्
gender_any	*	any	त्रिलिङ्गम्
case_nom	Case=Nom	nominative	प्रथमा
case_acc	Case=Acc	accusative	द्वितीया
case_ins	Case=Ins	instrumental	तृतीया
case_dat	Case=Dat	dative	चतुर्थी
case_abl	Case=Abl	ablative	पञ्चमी
case_gen	Case=Gen	genitive	षष्ठी
case_loc	Case=Loc	locative	सप्तमी
case_voc	Case=Voc	vocative	सम्बोधन
num_sg	Number=Sing	singular	एकवचनम्
num_du	Number=Dual	dual	द्विवचनम्
num_pl	Number=Plur	plural	बहुवचनम्
prev	upasarga	Preverb	उपसर्गः
person_1	Person=1	First Person	उत्तम
person_2	Person=2	Second Person	मध्यम
person_3	Person=3	Third Person	प्रथम
ca	sanAxi_prawyayaH:Nic	Causative	णिच्
des	sanAxi_prawyayaH:san	Desiderative	सन्
int	sanAxi_prawyayaH:yaf	Intensive	यङ्
int_luk	int. luk.	Intensive-luk	यङ्-लुक्
ca_int	ca. int.	Causative Intensive	यङ्-णिच्
des_int	des. int.	Desiderative Intensive	यङ्-सन्
des_ca	des. ca.	Desiderative Causative	णिच्-सन्
des_ca_int	des. ca. int.	Desiderative Causative Intensive	यङ्-णिच्-सन्
tense_pres	Tense=Pres	Present Tense	वर्तमानकालः
tense_past	Tense=Past	Past Tense	भूतकालः
tense_fut	Tense=Fut	Future Tense	भविष्यत्कालः
tense_aor	Tense=Past	Aorist Tense	अद्यतन-भूतकालः
tense_perf	Tense=Past	Perfect Tense	परोक्ष-भूतकालः
tense_impft	Tense=Impf	Imperfect Tense	अनद्यतन-भूतकालः
tense_plp	Tense=plp	Pluperfect Tense	छान्दस-भूतकालः
mood_ind	Mood=Ind	Indicative	निश्चयार्थः
mood_imp	Mood=Imp	Imperative	आज्ञार्थः
mood_opt	Mood=Opt	Optative	विध्यर्थः
mood_sub	Mood=Sub	Subjunctive	छान्दसो विध्यर्थः
mood_jus	Mood=Jus	Jussive	निषेधार्थः
mood_prec	Mood=Opt	Precative	आशीरर्थः
mood_inj	Mood-Jus	Injunctive	निषेधार्थः
mood_cond	Mood=Cond	Conditional	हेतुहेतुमद्भावः
formation_peri	Formation=peri	Periphrastic	अनुप्रयोगः
formation_root	Formation=root	Root	मूलम्
formation_them	Formation=them	Thematic	अ-विकरणः
formation_red	Formation=red	Reduplicated	द्वित्वम्
formation_s	Formation=s	s-Aorist	सिच्
formation_is	Formation=is	is-Aorist	इट्-सिच्
formation_sis	Formation=sis	sis-Aorist	सिस्
formation_sa	Formation=sa	sa-Aorist	क्ष
tense_pres|mood_ind	lakAraH:lat	present-indicative	लट्
tense_pres|mood_imp	lakAraH:lot	present-imperative	लोट्
tense_pres|mood_opt	lakAraH:viXilif	present-optative	विधिलिङ्
tense_aor|mood_prec	lakAraH:ASIrlif	benedictive / aorist-optative	आशीर्लिङ्
tense_perf|mood_ind	lakAraH:lit	perfect-indicative	लिट् (द्वित्व)
tense_perf|mood_ind|formation_peri	per. pft.	periphrastic perfect	लिट् (अनुप्रयोग)
tense_impft|mood_ind	lakAraH:laf	imperfect-indicative	लङ्
tense_pres|mood_inj	inj.	present-injunctive	लङ् (अ-आ-अभाव)
tense_fut|mood_ind	lakAraH:lqt	future-indicative	लृट्
tense_fut|mood_ind|formation_peri	lakAraH:lut	periphrastic future	लुट्
tense_fut|mood_cond	lakAraH:lqf	conditional	लृङ्
